Job Title;Employment Type;Experience Level;Expertise Level;Company Location;Salary in USD;Employee Residence;Company Size;Year
Data Scientist;Full-Time;Executive;Director;United States;225000;United States;Medium;2023
Data Scientist;Full-Time;Executive;Director;United States;145000;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;165000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;153600;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;106800;United States;Medium;2023
ETL Developer;Full-Time;Senior;Expert;United States;182850;United States;Medium;2023
ETL Developer;Full-Time;Senior;Expert;United States;113000;United States;Medium;2023
Data Analyst;Full-Time;Mid;Intermediate;United States;95000;United States;Medium;2023
Data Architect;Full-Time;Senior;Expert;United Kingdom;104584;United Kingdom;Medium;2023
Data Architect;Full-Time;Senior;Expert;United Kingdom;92280;United Kingdom;Medium;2023
Data Analyst;Full-Time;Mid;Intermediate;United States;126000;United States;Medium;2023
Data Analyst;Full-Time;Mid;Intermediate;United States;86400;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;232760;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;169280;United States;Medium;2023
Data Engineer;Full-Time;Mid;Intermediate;United States;162500;United States;Medium;2023
Data Engineer;Full-Time;Mid;Intermediate;United States;130000;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;240350;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;174800;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;154000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;116000;United States;Medium;2023
Data Analyst;Full-Time;Senior;Expert;United States;153600;United States;Medium;2023
Data Analyst;Full-Time;Senior;Expert;United States;107500;United States;Medium;2023
Data Analyst;Full-Time;Mid;Intermediate;United Kingdom;94100;United Kingdom;Medium;2023
Data Analyst;Full-Time;Mid;Intermediate;United Kingdom;72400;United Kingdom;Medium;2023
ML Engineer;Full-Time;Senior;Expert;United States;178000;United States;Medium;2023
